Name,Coords
Klamath,"-124.0063,41.5322"
Costa Mesa,"-117.9135,33.6667"
Oceano,"-120.6090,35.1019"
Robinson Mill,"-121.3202,39.4857"
Colusa,"-122.0096,39.2049"
Meadowbrook,"-117.2851,33.7254"
Hidden Valley Lake,"-122.5505,38.8003"
Caruthers,"-119.8450,36.5399"
Potrero,"-116.6068,32.6131"
Laton,"-119.6916,36.4338"
Hiouchi,"-124.0661,41.7937"
Fuller Acres,"-118.9143,35.3023"
Herald,"-121.2318,38.2913"
Furnace Creek,"-116.8747,36.4277"
Lucerne Valley,"-116.9021,34.4427"
Volcano,"-120.6306,38.4456"
Redding,"-122.3650,40.5698"
Concord,"-122.0016,37.9722"
West Modesto,"-121.0343,37.6180"
Golden Hills,"-118.5024,35.1512"
Santa Fe Springs,"-118.0625,33.9330"
Fellows,"-119.5472,35.1780"
Forestville,"-122.8899,38.4825"
Los Molinos,"-122.0981,40.0270"
Banning,"-116.8991,33.9461"
Sacramento,"-121.4683,38.5667"
Independence,"-118.2133,36.8275"
Spring Valley Lake,"-117.2684,34.4988"
Valley Ford,"-122.9148,38.3246"
Plumas Eureka,"-120.6645,39.7982"
Westside,"-120.1344,36.4042"
Country Club,"-121.3408,37.9687"
East Quincy,"-120.9189,39.9165"
Rancho San Diego,"-116.9197,32.7624"
Lewiston,"-122.8225,40.6969"
Bonadelle Ranchos-Madera Ranchos,"-119.8893,36.9596"
Teviston,"-119.2783,35.9290"
Lagunitas-Forest Knolls,"-122.6914,38.0180"
Palo Alto,"-122.1467,37.3913"
Pearsonville,"-117.8755,35.8188"
Bonita,"-117.0296,32.6652"
Del Rio,"-121.0091,37.7432"
Danville,"-121.9698,37.8121"
Casa de Oro-Mount Helix,"-116.9687,32.7640"
Cloverdale,"-123.0154,38.7962"
La Quinta,"-116.2785,33.6536"
Roseland,"-122.7298,38.4178"
Big Bear City,"-116.7903,34.2536"
Chinese Camp,"-120.4443,37.8703"
Washington,"-120.7906,39.3591"
San Jacinto,"-116.9915,33.7970"
Carrick,"-122.3635,41.4467"
Meadow Vista,"-121.0304,39.0029"
Old Fig Garden,"-119.8051,36.7989"
Likely,"-120.5033,41.2254"
Sugarloaf Saw Mill,"-118.6166,35.8343"
Riverdale Park,"-121.0425,37.6028"
Tulelake,"-121.4753,41.9533"
Las Flores,"-117.6235,33.5838"
Biola,"-120.0199,36.8006"
Los Ranchos,"-120.6291,35.2102"
San Mateo,"-122.3122,37.5522"
Livermore,"-121.7608,37.6861"
Diablo Grande,"-121.2699,37.4006"
Idyllwild-Pine Cove,"-116.7257,33.7443"
Morongo Valley,"-116.5627,34.0724"
Thornton,"-121.4249,38.2310"
San Diego,"-117.1225,32.8312"
Bermuda Dunes,"-116.2874,33.7435"
Copperopolis,"-120.6277,37.9365"
La Crescenta-Montrose,"-118.2353,34.2323"
Pine Canyon,"-121.1498,36.1757"
Brookdale,"-122.1106,37.1058"
Signal Hill,"-118.1681,33.8029"
Stirling City,"-121.5361,39.9064"
Loma Rica,"-121.4038,39.3204"
Tamalpais-Homestead Valley,"-122.5382,37.8793"
Tuttle,"-120.3789,37.2965"
West Park,"-119.8516,36.7055"
Pleasanton,"-121.8805,37.6663"
March ARB,"-117.2777,33.8888"
Big Lagoon,"-124.1303,41.1592"
Muscoy,"-117.3482,34.1548"
West Covina,"-117.9112,34.0555"
Bellflower,"-118.1271,33.8880"
Allensworth,"-119.3892,35.8499"
Lemon Hill,"-121.4573,38.5172"
Fort Dick,"-124.1526,41.8663"
Rancho Cucamonga,"-117.5666,34.1248"
Rio del Mar,"-121.8808,36.9608"
Agoura Hills,"-118.7608,34.1510"
St. Helena,"-122.4682,38.5063"
Dorris,"-121.9208,41.9643"
Lenwood,"-117.1078,34.8861"
Garberville,"-123.7948,40.1003"
Carmichael,"-121.3230,38.6337"
Richvale,"-121.7507,39.4937"
New Cuyama,"-119.6806,34.9421"
Tomales,"-122.9054,38.2470"
Anza,"-116.6967,33.5679"
Rodriguez Camp,"-119.1388,35.8090"
Ballard,"-120.1156,34.6340"
Jacumba,"-116.1827,32.6278"
Westley,"-121.2035,37.5444"
Romoland,"-117.1572,33.7648"
Santa Ana,"-117.8819,33.7366"
Sunol,"-121.8854,37.5894"
Lancaster,"-118.1753,34.6934"
Moorpark,"-118.8770,34.2855"
Graeagle,"-120.6486,39.7572"
Descanso,"-116.6279,32.8696"
Isleton,"-121.6051,38.1617"
Orange Cove,"-119.3188,36.6211"
Pollock Pines,"-120.5904,38.7564"
Macdoel,"-122.0058,41.8256"
Vernon,"-118.2106,34.0019"
West Sacramento,"-121.5504,38.5557"
San Geronimo,"-122.6634,38.0067"
Parlier,"-119.5435,36.6085"
Long Barn,"-120.1285,38.0957"
Calexico,"-115.4944,32.6849"
Fairhaven,"-124.2013,40.7885"
Compton,"-118.2275,33.8930"
San Andreas,"-120.6763,38.1912"
Courtland,"-121.5570,38.3329"
Herlong,"-120.1399,40.1419"
Desert Edge,"-116.4401,33.9223"
Chester,"-121.2339,40.3017"
Fort Bragg,"-123.8013,39.4400"
Bootjack,"-119.8887,37.4672"
Wheatland,"-121.3900,39.0287"
Chino,"-117.6654,33.9836"
Valley Ranch,"-120.5650,39.7403"
Valley Center,"-117.0158,33.2331"
Prunedale,"-121.6555,36.8064"
Taft Heights,"-119.4711,35.1337"
Twain,"-121.0404,40.0355"
Grizzly Flats,"-120.5354,38.6357"
Junction City,"-123.0615,40.7274"
Victorville,"-117.3536,34.5277"
Taft Mosswood,"-121.2831,37.9140"
Cedarville,"-120.1748,41.5280"
West Goshen,"-119.4516,36.3490"
Onyx,"-118.2102,35.6839"
Downieville,"-120.8213,39.5700"
Rolling Hills,"-118.3471,33.7600"
Mesa Verde,"-114.7317,33.5957"
Sheridan,"-121.3560,38.9690"
Hickman,"-120.7532,37.6227"
Mission Canyon,"-119.7125,34.4534"
Running Springs,"-117.1147,34.2104"
Davenport,"-122.1882,37.0176"
La Honda,"-122.2651,37.3182"
Posey,"-118.6786,35.8038"
Jamul,"-116.8709,32.7184"
Ladera Heights,"-118.3740,33.9972"
Searles Valley,"-117.3967,35.7701"
Kingsburg,"-119.5608,36.5242"
Leona Valley,"-118.2990,34.6147"
Oakville,"-122.4067,38.4384"
Elmira,"-121.9077,38.3523"
Auburn Lake Trails,"-120.9849,38.8917"
Lake Almanor Peninsula,"-121.1345,40.2812"
Eldridge,"-122.5065,38.3339"
Shoshone,"-116.3056,35.9510"
Coachella,"-116.1430,33.6905"
Toro Canyon,"-119.5568,34.4235"
Greenview,"-122.9185,41.5471"
Villa Park,"-117.8103,33.8180"
Campo,"-116.4745,32.6394"
Morgan Hill,"-121.6410,37.1324"
Imperial Beach,"-117.1184,32.5689"
Norco,"-117.5500,33.9253"
Riverdale,"-119.8670,36.4304"
Los Altos,"-122.0966,37.3685"
Rolling Hills Estates,"-118.3508,33.7783"
Middletown,"-122.6221,38.7519"
Sun Village,"-117.9559,34.5596"
Pismo Beach,"-120.6506,35.1492"
Campbell,"-121.9538,37.2801"
Fountain Valley,"-117.9514,33.7105"
Trona,"-117.3449,35.8150"
Keeler,"-117.8720,36.4846"
Carmel Valley Village,"-121.7198,36.4824"
El Centro,"-115.5586,32.7867"
Torrance,"-118.3417,33.8346"
Oakdale,"-120.8471,37.7616"
San Juan Bautista,"-121.5384,36.8457"
Holtville,"-115.3779,32.8129"
East Orosi,"-119.2599,36.5481"
Newcastle,"-121.1318,38.8678"
Clearlake Riviera,"-122.7207,38.9512"
Vacaville,"-121.9680,38.3590"
Quartz Hill,"-118.2163,34.6527"
Chualar,"-121.5103,36.5711"
Palermo,"-121.5226,39.4313"
Nice,"-122.8525,39.1266"
Seaside,"-121.8191,36.6224"
Simi Valley,"-118.7490,34.2663"
Plainview,"-119.1375,36.1423"
Beckwourth,"-120.4111,39.8485"
Willows,"-122.1995,39.5149"
Menlo Park,"-122.1672,37.4686"
Valley Home,"-120.9143,37.8272"
North Highlands,"-121.3721,38.6713"
Indianola,"-124.0808,40.8133"
Mission Viejo,"-117.6550,33.6095"
Alamo,"-122.0131,37.8546"
Rail Road Flat,"-120.4910,38.3168"
Thermalito,"-121.6150,39.4909"
Lomita,"-118.3175,33.7933"
Potter Valley,"-123.1123,39.3190"
Indian Wells,"-116.3396,33.7036"
Lower Lake,"-122.6084,38.9118"
Burbank,"-118.3235,34.1879"
Casa Conejo,"-118.9445,34.1847"
Rosedale,"-119.2058,35.3887"
Coronado,"-117.1600,32.6640"
Warm Springs,"-117.3344,33.7067"
Dustin Acres,"-119.3750,35.2159"
Yucca Valley,"-116.4216,34.1234"
Maxwell,"-122.1946,39.2771"
Patton Village,"-120.1778,40.1401"
Upland,"-117.6604,34.1178"
El Cerrito,"-122.3025,37.9197"
Shingletown,"-121.8600,40.5035"
Anderson,"-122.2962,40.4510"
Bloomington,"-117.4013,34.0601"
Palm Springs,"-116.5382,33.8017"
Atherton,"-122.2032,37.4539"
Needles,"-114.6189,34.8164"
Clipper Mills,"-121.1666,39.5324"
Weldon,"-118.3103,35.6431"
Altadena,"-118.1345,34.1928"
National City,"-117.0983,32.6654"
Foresthill,"-120.8313,39.0053"
Daphnedale Park,"-120.5507,41.5089"
American Canyon,"-122.2583,38.1796"
Plymouth,"-120.8584,38.4776"
Rialto,"-117.3894,34.1175"
Rohnert Park,"-122.6964,38.3480"
Dinuba,"-119.3987,36.5453"
Pacific Grove,"-121.9255,36.6191"
Rosamond,"-118.2154,34.8658"
Roseville,"-121.3178,38.7691"
Angels,"-120.5501,38.0706"
Occidental,"-122.9349,38.4004"
Vista,"-117.2386,33.1896"
Phelan,"-117.5248,34.4398"
Sunnyside,"-119.6945,36.7294"
Johnstonville,"-120.5846,40.3789"
Inverness,"-122.8471,38.0821"
Acton,"-118.1858,34.4956"
Pasadena,"-118.1390,34.1597"
Alleghany,"-120.8410,39.4666"
Tres Pinos,"-121.3106,36.7904"
Castaic,"-118.6317,34.4818"
Stonyford,"-122.5445,39.3703"
Covelo,"-123.2499,39.8025"
Vandenberg Village,"-120.4623,34.7111"
Cambria,"-121.0847,35.5523"
Miranda,"-123.8174,40.2289"
Silverado Resort,"-122.2556,38.3536"
Amesti,"-121.7805,36.9583"
Planada,"-120.3207,37.2892"
Hyampom,"-123.4689,40.6262"
Gold Mountain,"-120.5191,39.7613"
China Lake Acres,"-117.7667,35.6387"
Valle Vista,"-116.8872,33.7436"
Los Alamos,"-120.2783,34.7375"
Pine Flat,"-118.6427,35.8737"
Newark,"-122.0312,37.5204"
Santee,"-116.9851,32.8554"
Mi-Wuk Village,"-120.1790,38.0570"
Sereno del Mar,"-123.0732,38.3836"
Walnut Park,"-118.2220,33.9683"
Santa Paula,"-119.0698,34.3521"
San Ardo,"-120.9074,36.0238"
Del Rey,"-119.5993,36.6562"
Mono Vista,"-120.2697,38.0124"
Lake Forest,"-117.6712,33.6606"
Sonora,"-120.3828,37.9819"
Dobbins,"-121.2128,39.3657"
Newport Beach,"-117.8669,33.6151"
Peters,"-121.0439,37.9763"
Santa Clara,"-121.9680,37.3646"
Pine Valley,"-116.5107,32.8415"
Laguna Woods,"-117.7299,33.6099"
Penngrove,"-122.6707,38.3005"
Elizabeth Lake,"-118.3783,34.6590"
Montara,"-122.4924,37.5482"
Lennox,"-118.3586,33.9380"
Barstow,"-117.0472,34.8661"
Walnut Grove,"-121.5280,38.2477"
Redway,"-123.8220,40.1209"
Desert Palms,"-116.2930,33.7790"
Pajaro,"-121.7417,36.9016"
Mesa Vista,"-119.8033,38.8103"
Azusa,"-117.9124,34.1386"
Half Moon Bay,"-122.4383,37.4688"
Los Gatos,"-121.9560,37.2302"
Pinole,"-122.2834,37.9931"
Hoopa,"-123.6972,41.0803"
San Anselmo,"-122.5699,37.9821"
San Martin,"-121.5963,37.0829"
Auberry,"-119.4900,37.0754"
Sky Valley,"-116.3551,33.8912"
Easton,"-119.7908,36.6524"
McKinleyville,"-124.0857,40.9489"
Alto,"-122.5187,37.9056"
Sausalito,"-122.4932,37.8580"
Highlands-Baywood Park,"-122.3448,37.5227"
Allendale,"-121.9814,38.4426"
Rosemont,"-121.3553,38.5477"
Dublin,"-121.8964,37.7161"
Tarpey Village,"-119.7012,36.7941"
San Lorenzo,"-122.1349,37.6737"
Day Valley,"-121.8559,37.0255"
Paxton,"-121.0030,40.0334"
Cedar Slope,"-118.5771,36.1436"
Seacliff,"-121.9176,36.9770"
Stockton,"-121.3111,37.9766"
Angwin,"-122.4512,38.5776"
Tecopa,"-116.2074,35.8350"
Durham,"-121.7875,39.6232"
Orcutt,"-120.4269,34.8668"
Emerald Lake Hills,"-122.2675,37.4663"
Guinda,"-122.1985,38.8274"
Salton Sea Beach,"-116.0113,33.3759"
Fairfield,"-122.0319,38.2594"
Vineyard,"-121.3190,38.4744"
Acalanes Ridge,"-122.0786,37.9045"
North Edwards,"-117.8093,35.0474"
Rosemead,"-118.0823,34.0688"
Milford,"-120.3686,40.1634"
Honcut,"-121.5387,39.3326"
Escalon,"-120.9981,37.7912"
Rossmoor,"-118.0803,33.7886"
Ojai,"-119.2469,34.4487"
Placerville,"-120.7978,38.7308"
South El Monte,"-118.0484,34.0493"
Millville,"-122.1696,40.5576"
Temescal Valley,"-117.4677,33.7581"
Diablo,"-121.9565,37.8408"
Panorama Heights,"-118.6270,35.8068"
Fulton,"-122.7734,38.4937"
Rancho Mirage,"-116.4271,33.7634"
Yuba City,"-121.6381,39.1357"
San Diego Country Estates,"-116.7874,33.0093"
Capitola,"-121.9539,36.9772"
Lanare,"-119.9322,36.4377"
Contra Costa Centre,"-122.0539,37.9261"
Kennedy Meadows,"-118.1100,36.0076"
Rancho Santa Margarita,"-117.5989,33.6317"
North Shore,"-115.9092,33.5157"
Interlaken,"-121.7363,36.9505"
Homestead Valley,"-116.4145,34.2730"
Coleville,"-119.5160,38.5834"
Knightsen,"-121.6511,37.9633"
Mendocino,"-123.7908,39.3110"
Dunsmuir,"-122.2714,41.2319"
Kings Beach,"-120.0201,39.2490"
Myers Flat,"-123.8737,40.2666"
Corona,"-117.5641,33.8620"
East Shore,"-121.0768,40.2451"
Yreka,"-122.6311,41.7292"
Beaumont,"-116.9762,33.9070"
Bear Creek,"-120.4177,37.2966"
San Pablo,"-122.3425,37.9628"
Alpine Village,"-119.8009,38.7856"
Dorrington,"-120.2706,38.2949"
Smith River,"-124.1494,41.9250"
Oakley,"-121.6951,37.9929"
Agua Dulce,"-118.3160,34.5044"
McArthur,"-121.4068,41.0415"
Oroville East,"-121.4866,39.4947"
Meridian,"-121.9079,39.1404"
Dixon Lane-Meadow Creek,"-118.4153,37.3864"
Chino Hills,"-117.7253,33.9507"
Bonsall,"-117.1942,33.2761"
Folsom,"-121.1422,38.6669"
Susanville,"-120.6129,40.4205"
San Rafael,"-122.5222,37.9904"
Calabasas,"-118.6689,34.1375"
Cuyama,"-119.6148,34.9312"
Wawona,"-119.6395,37.5482"
Concow,"-121.5196,39.7733"
Westlake Village,"-118.8221,34.1369"
Sisquoc,"-120.2942,34.8622"
Jackson,"-120.7728,38.3485"
Trowbridge,"-121.5148,38.9263"
Calistoga,"-122.5824,38.5818"
Ladera Ranch,"-117.6416,33.5491"
Cleone,"-123.7812,39.4927"
Ford City,"-119.4584,35.1647"
University of California-Davis,"-121.7576,38.5374"
Oasis,"-116.1261,33.5275"
Marina,"-121.7894,36.6812"
San Clemente,"-117.6103,33.4498"
Whittier,"-118.0188,33.9678"
Mono City,"-119.1466,38.0412"
Laguna Beach,"-117.7613,33.5449"
Kernville,"-118.4321,35.7531"
Silver City,"-118.6508,36.4638"
Ripon,"-121.1309,37.7415"
Mexican Colony,"-119.2687,35.4689"
Bella Vista,"-122.2450,40.6502"
Hydesville,"-124.0822,40.5579"
Niland,"-115.5146,33.2387"
Bodega Bay,"-123.0308,38.3250"
Calpine,"-120.4436,39.6633"
Hat Creek,"-121.4809,40.8101"
Boulevard,"-116.2896,32.6640"
Carson,"-118.2559,33.8374"
Guadalupe,"-120.5735,34.9608"
Elkhorn,"-121.7211,36.8103"
Delleker,"-120.4968,39.8101"
Huntington Beach,"-118.0025,33.6960"
Williams,"-122.1373,39.1487"
Solvang,"-120.1401,34.5936"
Sebastopol,"-122.8277,38.4000"
Elk Grove,"-121.3840,38.4160"
Ripley,"-114.6530,33.5238"
Corning,"-122.1820,39.9282"
Cherokee Strip,"-119.2617,35.4698"
Crestline,"-117.2890,34.2486"
Blacklake,"-120.5387,35.0497"
Irvine,"-117.7738,33.6772"
San Marino,"-118.1132,34.1224"
Cherryland,"-122.1038,37.6792"
Baldwin Park,"-117.9721,34.0829"
Bertsch-Oceanview,"-124.1594,41.7524"
Fair Oaks,"-121.2497,38.6504"
Arroyo Grande,"-120.5845,35.1242"
Sunnyside-Tahoe City,"-120.1613,39.1504"
Orland,"-122.1855,39.7461"
Alhambra Valley,"-122.1320,37.9665"
Hughson,"-120.8660,37.6020"
Santa Nella,"-121.0153,37.1014"
Mendota,"-120.3777,36.7555"
Zayante,"-122.0414,37.0889"
Bonny Doon,"-122.1369,37.0435"
Marysville,"-121.5836,39.1518"
Tracy,"-121.4440,37.7260"
Winters,"-121.9781,38.5320"
Rose Hills,"-118.0420,34.0090"
Tehachapi,"-118.4750,35.1270"
Mabie,"-120.5447,39.7771"
East Whittier,"-117.9887,33.9244"
Florence-Graham,"-118.2447,33.9682"
Los Alamitos,"-118.0594,33.7972"
Mad River,"-123.4917,40.4325"
Madison,"-121.9702,38.6750"
Salida,"-121.0870,37.7145"
Ivanhoe,"-119.2202,36.3886"
San Carlos,"-122.2680,37.4982"
Wasco,"-119.3671,35.5938"
Magalia,"-121.6078,39.8228"
North Richmond,"-122.3711,37.9642"
Cassel,"-121.5515,40.9213"
Hesperia,"-117.3147,34.3975"
Tupman,"-119.3576,35.2987"
Prattville,"-121.1575,40.2060"
Home Garden,"-119.6370,36.3030"
Fairview,"-122.0481,37.6761"
Storrie,"-121.3188,39.9239"
Homewood Canyon,"-117.3863,35.8900"
Almanor,"-121.1762,40.2146"
San Marcos,"-117.1743,33.1350"
El Segundo,"-118.4021,33.9169"
Poso Park,"-118.6363,35.8114"
Keyes,"-120.9088,37.5618"
Mineral,"-121.5694,40.3755"
La Palma,"-118.0406,33.8504"
Meiners Oaks,"-119.2731,34.4505"
Broadmoor,"-122.4811,37.6914"
Darwin,"-117.5891,36.2688"
Little Valley,"-121.1781,40.8930"
Weott,"-123.9209,40.3226"
August,"-121.2625,37.9796"
Fowler,"-119.6739,36.6246"
Yountville,"-122.3671,38.3963"
Willits,"-123.3494,39.4047"
Big Bear Lake,"-116.8950,34.2429"
Clayton,"-121.9301,37.9403"
Camarillo,"-119.0322,34.2230"
Mayflower Village,"-118.0096,34.1159"
Piru,"-118.7999,34.4075"
Buena Vista,"-120.9179,38.2974"
Saratoga,"-122.0263,37.2684"
Bodega,"-122.9712,38.3488"
La Presa,"-117.0027,32.7110"
Channel Islands Beach,"-119.2231,34.1586"
Del Aire,"-118.3693,33.9168"
Shaver Lake,"-119.3245,37.0971"
Stinson Beach,"-122.6457,37.9051"
Oxnard,"-119.1819,34.1962"
Valley Springs,"-120.8150,38.1837"
San Luis Obispo,"-120.6689,35.2670"
Yucaipa,"-117.0430,34.0336"
Gilroy,"-121.5856,37.0047"
Temecula,"-117.1315,33.4928"
Kenwood,"-122.5387,38.4153"
La Mesa,"-117.0204,32.7703"
Escondido,"-117.0723,33.1347"
Hilmar-Irwin,"-120.8504,37.4045"
Verdi,"-120.0164,39.5237"
Penryn,"-121.1699,38.8478"
Arnold,"-120.3547,38.2423"
Blackhawk,"-121.9071,37.8160"
Greeley Hill,"-120.1290,37.7569"
King City,"-121.1330,36.2166"
Sierra Village,"-120.1624,38.0768"
North Gate,"-121.9981,37.9062"
Alta Sierra,"-121.0523,39.1237"
Centerville,"-119.4960,36.7361"
Wilsonia,"-118.9558,36.7346"
Woodland,"-121.7500,38.6712"
Tiburon,"-122.4637,37.8854"
Manila,"-124.1631,40.8513"
Santa Margarita,"-120.6084,35.3894"
Camp Nelson,"-118.6107,36.1420"
Oceanside,"-117.3083,33.2247"
South San Jose Hills,"-117.9041,34.0123"
Weed,"-122.3816,41.4128"
Mountain House,"-121.5452,37.7740"
Big Bend,"-121.9239,41.0108"
Boyes Hot Springs,"-122.4888,38.3126"
Lake Davis,"-120.4630,39.8564"
Alturas,"-120.5516,41.4898"
Monson,"-119.3358,36.4927"
Daly City,"-122.4684,37.6863"
Sierra Brooks,"-120.2153,39.6426"
London,"-119.4440,36.4810"
Eureka,"-124.1568,40.7941"
Aliso Viejo,"-117.7289,33.5792"
Sunnyvale,"-122.0257,37.3836"
Soda Bay,"-122.7794,39.0024"
Cathedral City,"-116.4642,33.8363"
East Richmond Heights,"-122.3140,37.9451"
Hermosa Beach,"-118.3966,33.8654"
Lake Almanor Country Club,"-121.1470,40.2578"
Brisbane,"-122.4019,37.6898"
Cerritos,"-118.0686,33.8677"
Corte Madera,"-122.5129,37.9238"
Reliez Valley,"-122.1026,37.9399"
Tobin,"-121.2959,39.9361"
Mountain View,"-122.0796,37.4000"
Pleasure Point,"-121.9715,36.9618"
Ross,"-122.5615,37.9638"
Ponderosa,"-118.5293,36.1050"
Firebaugh,"-120.4537,36.8534"
Selma,"-119.6156,36.5744"
Portola Valley,"-122.2203,37.3713"
Lodoga,"-122.5058,39.3041"
Sugarloaf Village,"-118.6355,35.8269"
Walnut Creek,"-122.0398,37.9025"
Ferndale,"-124.2619,40.5799"
Fortuna,"-124.1424,40.5860"
Artesia,"-118.0806,33.8676"
Kennedy,"-121.2457,37.9290"
Salinas,"-121.6317,36.6884"
Rancho Santa Fe,"-117.1992,33.0240"
Burnt Ranch,"-123.5082,40.8111"
Clay,"-121.1596,38.3140"
Rio Vista,"-121.7034,38.1761"
Hayward,"-122.0772,37.6328"
Butte Creek Canyon,"-121.6969,39.7489"
Jamestown,"-120.4110,37.9574"
San Miguel,"-122.0369,37.8867"
College City,"-122.0068,39.0063"
Colfax,"-120.9532,39.0938"
June Lake,"-119.1022,37.7677"
Yankee Hill,"-121.5147,39.7007"
Lucas Valley-Marinwood,"-122.5765,38.0405"
Douglas City,"-122.9261,40.6636"
Pioneer,"-120.5848,38.4355"
Eucalyptus Hills,"-116.9453,32.8850"
Boulder Creek,"-122.1271,37.1341"
McFarland,"-119.2414,35.6781"
Mountain Center,"-116.7248,33.7112"
Tonyville,"-119.0903,36.2474"
El Paso de Robles,"-120.6560,35.6394"
Palmdale,"-118.1057,34.5944"
Nicasio,"-122.7008,38.0606"
McClellan Park,"-121.4015,38.6631"
Industry,"-117.9268,34.0175"
Chilcoot-Vinton,"-120.1388,39.8067"
Garnet,"-116.4796,33.9179"
Lake Riverside,"-116.8107,33.5173"
Lakeview,"-117.1233,33.8285"
Duarte,"-117.9504,34.1609"
San Juan Capistrano,"-117.6544,33.5009"
Wofford Heights,"-118.4731,35.7127"
Arvin,"-118.8306,35.1944"
Monterey Park,"-118.1326,34.0497"
Turlock,"-120.8587,37.5053"
Indio Hills,"-116.2484,33.8411"
Mecca,"-116.0645,33.5767"
Downey,"-118.1312,33.9379"
Alameda,"-122.2673,37.7670"
Three Rivers,"-118.8806,36.4319"
Pine Mountain Club,"-119.1669,34.8446"
Pasatiempo,"-122.0265,37.0035"
Salton City,"-115.9609,33.2994"
Sleepy Hollow,"-122.5877,38.0120"
Lake Mathews,"-117.3683,33.8250"
McGee Creek,"-118.7910,37.5727"
Rouse,"-121.0084,37.6195"
Hornitos,"-120.2420,37.5034"
Tipton,"-119.3130,36.0585"
Stanford,"-122.1674,37.4252"
Beverly Hills,"-118.4021,34.0786"
Benton,"-118.4845,37.8189"
Strawberry,"-122.5078,37.8925"
Los Altos Hills,"-122.1390,37.3672"
Little River,"-123.7817,39.2703"
Bucks Lake,"-121.1941,39.8798"
